RESERVOIR,PRESENT_STORAGE_TMC,RES_LEVEL_FT,INFLOW_CUSECS,OUTFLOW_CUECS,YEAR,MONTH,DATE,DAY
K.R.S,48.06,123.80,5109.0,6960.0,2011,9,24,266
K.R.S,47.86,123.65,4792.0,6960.0,2011,9,25,267
K.R.S,47.63,123.48,4462.0,6946.0,2011,9,26,268
K.R.S,47.32,123.26,3630.0,6904.0,2011,9,27,269
K.R.S,46.97,123,3026.0,6892.0,2011,9,28,270
K.R.S,46.55,122.69,2255.0,6853.0,2011,9,29,271
K.R.S,46.18,122.41,2706.0,6840.0,2011,9,30,272
K.R.S,45.81,122.13,2668.0,6795.0,2011,10,1,273
K.R.S,45.7,122.05,5811.0,6801.0,2011,10,2,274
K.R.S,45.71,122.06,7204.0,6801.0,2011,10,3,275
K.R.S,45.63,122,6109.0,6790.0,2011,10,4,276
K.R.S,45.44,121.85,4723.0,6756.0,2011,10,5,277
K.R.S,45.15,121.63,3661.0,6754.0,2011,10,6,278
K.R.S,44.86,121.41,3577.0,6669.0,2011,10,7,279
K.R.S,44.57,121.19,3472.0,6563.0,2011,10,8,280
K.R.S,44.29,120.97,3621.0,6703.0,2011,10,9,281
K.R.S,44.26,120.95,6611.0,6673.0,2011,10,10,282
K.R.S,44.32,121,7649.0,6673.0,2011,10,11,283
K.R.S,44.83,121.39,12851.0,6703.0,2011,10,12,284
K.R.S,45.63,122,16224.0,6745.0,2011,10,13,285
K.R.S,46.09,122.34,12301.0,6790.0,2011,10,14,286
K.R.S,46.37,122.55,10313.0,6814.0,2011,10,15,287
K.R.S,46.7,122.80,10970.0,6852.0,2011,10,16,288
K.R.S,46.97,123,10198.0,6854.0,2011,10,17,289
K.R.S,47.07,123.07,8251.0,6892.0,2011,10,18,290
K.R.S,47.0,123.02,6366.0,6904.0,2011,10,19,291
K.R.S,46.86,122.92,5559.0,6866.0,2011,10,20,292
K.R.S,46.84,122.90,6790.0,6852.0,2011,10,21,293
K.R.S,46.92,122.96,8029.0,6853.0,2011,10,22,294
K.R.S,46.85,122.91,6327.0,6853.0,2011,10,23,295
K.R.S,46.88,122.93,7410.0,6853.0,2011,10,24,296
K.R.S,47.31,123.25,12154.0,6867.0,2011,10,25,297
K.R.S,47.83,123.63,13148.0,6886.0,2011,10,26,298
K.R.S,48.13,123.85,10634.0,6903.0,2011,10,27,299
K.R.S,48.24,123.93,8427.0,6910.0,2011,10,28,300
K.R.S,48.19,123.89,6529.0,6910.0,2011,10,29,301
K.R.S,48.08,123.81,5947.0,6960.0,2011,10,30,302
K.R.S,47.99,123.75,6264.0,6960.0,2011,10,31,303
K.R.S,47.93,123.70,6422.0,6960.0,2011,11,1,304
K.R.S,47.86,123.65,6374.0,6960.0,2011,11,2,305
K.R.S,48.2,123.90,10796.0,6638.0,2011,11,3,306
K.R.S,49.35,124.73,20359.0,6779.0,2011,11,4,307
K.R.S,49.23,124.64,17944.0,19188.0,2011,11,5,308
K.R.S,49.35,124.73,11661.0,9998.0,2011,11,6,309
K.R.S,49.42,124.78,8727.0,7710.0,2011,11,7,310
K.R.S,49.45,124.80,6653.0,6121.0,2011,11,8,311
K.R.S,49.45,124.80,9062.0,8854.0,2011,11,9,312
K.R.S,49.38,124.75,8550.0,9150.0,2011,11,10,313
K.R.S,49.19,124.61,4910.0,6963.0,2011,11,11,314
K.R.S,48.96,124.45,4587.0,6963.0,2011,11,12,315
K.R.S,48.74,124.29,4586.0,6962.0,2011,11,13,316
K.R.S,48.52,124.13,4586.0,6962.0,2011,11,14,317
K.R.S,48.29,123.97,4595.0,6962.0,2011,11,15,318
K.R.S,48.06,123.80,4476.0,6960.0,2011,11,16,319
K.R.S,47.8,123.61,4160.0,6960.0,2011,11,17,320
K.R.S,47.54,123.42,4146.0,6946.0,2011,11,18,321
K.R.S,47.27,123.22,3946.0,6904.0,2011,11,19,322
K.R.S,47.0,123.02,3946.0,6904.0,2011,11,20,323
K.R.S,46.68,122.78,3344.0,6865.0,2011,11,21,324
K.R.S,46.39,122.57,3803.0,6852.0,2011,11,22,325
K.R.S,46.17,122.40,4384.0,6815.0,2011,11,23,326
K.R.S,45.9,122.20,3907.0,6801.0,2011,11,24,327
K.R.S,45.66,122.02,3916.0,6501.0,2011,11,25,328
K.R.S,45.41,121.83,3777.0,6467.0,2011,11,26,329
K.R.S,45.24,121.70,4680.0,6454.0,2011,11,27,330
K.R.S,45.16,121.64,5740.0,6454.0,2011,11,28,331
K.R.S,45.32,121.76,8163.0,6454.0,2011,11,29,332
K.R.S,45.19,121.66,6952.0,6454.0,2011,11,30,333
K.R.S,45.32,121.76,6634.0,6454.0,2011,12,1,334
K.R.S,45.2,121.67,5286.0,6454.0,2011,12,2,335
K.R.S,45.07,121.57,5134.0,6454.0,2011,12,3,336
K.R.S,44.94,121.47,5124.0,6444.0,2011,12,4,337
K.R.S,44.83,121.32,5104.0,6433.0,2011,12,5,338
K.R.S,44.66,121.26,4942.0,6413.0,2011,12,6,339
K.R.S,44.51,121.14,4790.0,6413.0,2011,12,7,340
K.R.S,44.32,121,4477.0,6403.0,2011,12,8,341
K.R.S,44.17,120.88,4786.0,6373.0,2011,12,9,342
K.R.S,44.0,120.75,4637.0,6372.0,2011,12,10,343
K.R.S,43.86,120.64,4832.0,6272.0,2011,12,11,344
K.R.S,43.72,120.53,4832.0,6271.0,2011,12,12,345
K.R.S,43.55,120.40,4506.0,6241.0,2011,12,13,346
K.R.S,43.43,120.30,4939.0,6230.0,2011,12,14,347
K.R.S,43.31,120.21,5087.0,6230.0,2011,12,15,348
K.R.S,43.18,120.11,4939.0,6230.0,2011,12,16,349
K.R.S,43.04,120,4782.0,6222.0,2011,12,17,350
K.R.S,42.88,119.87,4498.0,6195.0,2011,12,18,351
K.R.S,42.72,119.74,4497.0,6193.0,2011,12,19,352
K.R.S,42.55,119.61,4482.0,6193.0,2011,12,20,353
K.R.S,42.35,119.45,4038.0,6184.0,2011,12,21,354
K.R.S,46.39,122.57,3803.0,6852.0,2011,12,22,355
K.R.S,41.95,119.13,4011.0,6157.0,2011,12,23,356
K.R.S,41.85,119.05,4970.0,5957.0,2011,12,24,357
K.R.S,41.69,118.92,4247.0,5935.0,2011,12,25,358
K.R.S,41.52,118.78,4111.0,5926.0,2011,12,26,359
K.R.S,41.36,118.65,4051.0,5726.0,2011,12,27,360
K.R.S,41.22,118.53,4192.0,5725.0,2011,12,28,361
K.R.S,41.07,118.41,4170.0,5703.0,2011,12,29,362
K.R.S,40.9,118.27,3878.0,5694.0,2011,12,30,363
K.R.S,40.77,118.17,2917.0,4166.0,2011,12,31,364
K.R.S,40.97,118.33,4924.0,2488.0,2012,1,1,0
K.R.S,8.45,73.30,337.0,4101.0,2012,5,31,150
K.R.S,7.94,72.75,402.0,2575.0,2012,6,1,151
K.R.S,7.75,72.22,399.0,2448.0,2012,6,2,152
K.R.S,7.75,72.22,271.0,204.0,2012,6,3,153
K.R.S,7.76,72.23,311.0,204.0,2012,6,4,154
K.R.S,7.75,72.22,232.0,204.0,2012,6,5,155
K.R.S,7.75,72.22,271.0,204.0,2012,6,6,156
K.R.S,7.76,72.23,311.0,204.0,2012,6,7,157
K.R.S,7.76,72.23,311.0,204.0,2012,6,8,158
K.R.S,7.77,72.26,296.0,204.0,2012,6,9,159
K.R.S,7.77,72.26,271.0,204.0,2012,6,10,160
K.R.S,7.77,72.27,311.0,204.0,2012,6,11,161
K.R.S,7.77,72.28,311.0,204.0,2012,6,12,162
K.R.S,7.78,72.30,351.0,204.0,2012,6,13,163
K.R.S,7.79,72.32,311.0,204.0,2012,6,15,165
K.R.S,7.78,72.30,265.0,277.0,2012,6,16,166
K.R.S,7.78,72.31,307.0,204.0,2012,6,17,167
K.R.S,8.33,73.85,1728.0,217.0,2012,6,26,176
K.R.S,8.45,74.20,1758.0,217.0,2012,6,27,177
K.R.S,8.58,74.55,1780.0,218.0,2012,6,28,178
K.R.S,8.75,75,2208.0,218.0,2012,6,29,179
K.R.S,8.92,75.45,2275.0,220.0,2012,6,30,180
K.R.S,8.94,75.50,1309.0,1019.0,2012,7,1,181
K.R.S,8.66,74.75,754.0,3972.0,2012,7,2,182
K.R.S,8.42,74.10,1089.0,3810.0,2012,7,3,183
K.R.S,8.31,73.80,2723.0,3923.0,2012,7,4,184
K.R.S,8.94,75.50,10983.0,3624.0,2012,7,5,185
K.R.S,9.65,77.30,11708.0,3470.0,2012,7,6,186
K.R.S,10.14,78.50,9230.0,3439.0,2012,7,7,187
K.R.S,10.2,78.65,4189.0,3397.0,2012,7,8,188
K.R.S,10.14,78.50,2730.0,3397.0,2012,7,9,189
K.R.S,9.99,78.15,1754.0,3393.0,2012,7,10,190
K.R.S,9.85,77.80,1780.0,3389.0,2012,7,11,191
K.R.S,9.71,77.45,1522.0,3101.0,2012,7,12,192
K.R.S,9.6,77.20,1718.0,2835.0,2012,7,13,193
K.R.S,9.52,77,1953.0,2834.0,2012,7,14,194
K.R.S,9.44,76.80,1981.0,2834.0,2012,7,15,195
K.R.S,9.37,76.60,1981.0,2834.0,2012,7,16,196
K.R.S,9.29,76.40,1980.0,2834.0,2012,7,17,197
K.R.S,9.22,76.22,2071.0,2833.0,2012,7,18,198
K.R.S,9.16,76.08,2253.0,2833.0,2012,7,19,199
K.R.S,9.11,75.95,2251.0,2833.0,2012,7,20,200
K.R.S,9.05,75.80,2173.0,2833.0,2012,7,21,201
K.R.S,8.98,75.60,1952.0,2782.0,2012,7,22,202
K.R.S,8.92,75.44,2129.0,2782.0,2012,7,23,203
K.R.S,8.87,75.33,2349.0,2782.0,2012,7,24,204
K.R.S,8.85,75.27,2569.0,2782.0,2012,7,25,205
K.R.S,8.82,75.20,3079.0,3336.0,2012,7,26,206
K.R.S,8.8,75.14,3053.0,3266.0,2012,7,27,207
K.R.S,8.78,75.09,3097.0,3265.0,2012,7,28,208
K.R.S,8.85,75.27,4112.0,3266.0,2012,7,29,209
K.R.S,9.03,75.75,5440.0,3270.0,2012,7,30,210
K.R.S,9.37,76.60,4115.0,223.0,2012,7,31,211
K.R.S,9.69,77.40,3987.0,224.0,2012,8,1,212
K.R.S,9.93,78,3112.0,225.0,2012,8,2,213
K.R.S,10.18,78.60,3215.0,233.0,2012,8,3,214
K.R.S,10.37,79.05,2496.0,236.0,2012,8,4,215
K.R.S,10.5,79.35,1802.0,237.0,2012,8,5,216
K.R.S,10.64,79.66,1859.0,0.0,2012,8,6,217
