DISTRICTS,RAINFALL,YEAR,MONTH,DEPARTURE,SEASON
HASSAN,0.0,2012,1,-100.0,WINTER
CHIKBALLAPURA,0.2,2012,1,-90.0,WINTER
BANGALORE URBAN,0.0,2013,1,-100.0,WINTER
HASSAN,0.4,2013,1,-69.0,WINTER
CHIKBALLAPURA,0.0,2013,1,-100.0,WINTER
BANGALORE RURAL,0.0,2013,1,-100.0,WINTER
GULBARGA,0.0,2013,1,-100.0,WINTER
BAGALKOTE,0.0,2013,1,-100.0,WINTER
BELAGAVI,0.2,2013,1,-71.0,WINTER
CHAMARAJANAGAR,0.0,2013,1,-100.0,WINTER
TUMKUR,0.0,2013,1,-100.0,WINTER
SHIMOGA,3.6,2013,1,620.0,WINTER
BIJAPUR,0.3,2013,1,-88.0,WINTER
KODAGU,0.0,2013,1,-100.0,WINTER
GADAG,0.0,2013,1,-100.0,WINTER
BIDAR,1.7,2013,1,-71.0,WINTER
YADGIR,0.0,2013,1,-100.0,WINTER
BELGAUM,0.2,2013,1,-71.0,WINTER
DAVANGERE,0.2,2013,1,-82.0,WINTER
CHIKKAMAGALURU,1.5,2013,1,-6.0,WINTER
KOLAR,0.0,2013,1,-100.0,WINTER
CHITRADURGA,0.0,2013,1,-100.0,WINTER
UTTAR KANNADA,4.5,2013,1,1400.0,WINTER
MANDYA,0.0,2013,1,-100.0,WINTER
UDUPI,4.3,2013,1,207.0,WINTER
RAMANAGARA,0.0,2013,1,-100.0,WINTER
HAVERI,16.3,2013,1,5333.0,WINTER
RAICHUR,0.0,2013,1,-100.0,WINTER
DAKSHIN KANNADA,0.7,2013,1,-63.0,WINTER
BELLARY,0.0,2013,1,-100.0,WINTER
DHARWAD,0.4,2013,1,-83.0,WINTER
KOPPAL,0.0,2013,1,-100.0,WINTER
MYSURU,0.0,2013,1,-100.0,WINTER
BELLARY,0.0,2014,1,-100.0,WINTER
DHARWAD,0.0,2014,1,-100.0,WINTER
MYSURU,0.4,2014,1,-84.0,WINTER
CHIKBALLAPURA,0.0,2014,1,-100.0,WINTER
UTTAR KANNADA,0.0,2014,1,-100.0,WINTER
CHAMARAJANAGAR,0.0,2014,1,-100.0,WINTER
DAKSHIN KANNADA,0.0,2014,1,-100.0,WINTER
MANDYA,0.0,2014,1,-100.0,WINTER
BANGALORE RURAL,0.0,2014,1,-100.0,WINTER
KODAGU,3.3,2014,1,-6.0,WINTER
BIDAR,0.0,2014,1,-100.0,WINTER
SHIMOGA,0.0,2014,1,-100.0,WINTER
YADGIR,0.0,2014,1,-100.0,WINTER
GADAG,0.0,2014,1,-100.0,WINTER
HASSAN,0.0,2014,1,-100.0,WINTER
CHITRADURGA,0.3,2014,1,-79.0,WINTER
DAVANGERE,2.3,2014,1,109.0,WINTER
KOLAR,0.0,2014,1,-100.0,WINTER
BAGALKOTE,0.0,2014,1,-100.0,WINTER
BELAGAVI,0.0,2014,1,-100.0,WINTER
RAICHUR,0.0,2014,1,-100.0,WINTER
TUMKUR,0.0,2014,1,-100.0,WINTER
BELGAUM,0.0,2014,1,-100.0,WINTER
RAMANAGARA,0.0,2014,1,-100.0,WINTER
HAVERI,0.0,2014,1,-100.0,WINTER
BANGALORE URBAN,0.0,2014,1,-100.0,WINTER
BIJAPUR,0.0,2014,1,-100.0,WINTER
KOPPAL,0.0,2014,1,-100.0,WINTER
CHIKKAMAGALURU,0.8,2014,1,-50.0,WINTER
UDUPI,0.0,2014,1,-100.0,WINTER
GULBARGA,0.0,2014,1,-100.0,WINTER
RAICHUR,2.8,2015,1,101.0,WINTER
CHAMARAJANAGAR,0.3,2015,1,-90.0,WINTER
BIJAPUR,1.6,2015,1,-35.0,WINTER
CHIKKAMAGALURU,0.0,2015,1,-99.0,WINTER
YADGIR,7.7,2015,1,75.0,WINTER
MYSURU,2.4,2015,1,-3.0,WINTER
TUMKUR,0.6,2015,1,-74.0,WINTER
CHITRADURGA,0.4,2015,1,-70.0,WINTER
RAMANAGARA,1.5,2015,1,0.0,WINTER
HASSAN,0.9,2015,1,-34.0,WINTER
DAVANGERE,0.8,2015,1,-32.0,WINTER
KODAGU,0.2,2015,1,-95.0,WINTER
DAKSHIN KANNADA,1.6,2015,1,-17.0,WINTER
BANGALORE URBAN,7.7,2015,1,237.0,WINTER
CHIKBALLAPURA,6.2,2015,1,196.0,WINTER
BELLARY,0.7,2015,1,-52.0,WINTER
MANDYA,0.0,2015,1,-100.0,WINTER
GADAG,0.2,2015,1,-86.0,WINTER
KOPPAL,0.5,2015,1,-58.0,WINTER
UDUPI,0.6,2015,1,-57.0,WINTER
BAGALKOTE,0.3,2015,1,-84.0,WINTER
SHIMOGA,0.0,2015,1,-94.0,WINTER
UTTAR KANNADA,1.7,2015,1,480.0,WINTER
HAVERI,0.0,2015,1,-100.0,WINTER
KOLAR,5.6,2015,1,106.0,WINTER
BIDAR,8.4,2015,1,42.0,WINTER
BELAGAVI,0.5,2015,1,-30.0,WINTER
BANGALORE RURAL,19.0,2015,1,1020.0,WINTER
DHARWAD,0.1,2015,1,-97.0,WINTER
BELGAUM,0.5,2015,1,-30.0,WINTER
MANDYA,2.4,2016,1,25.0,WINTER
MYSURU,4.3,2016,1,73.0,WINTER
VIJAYAPURA,0.0,2016,1,-98.0,WINTER
KALABURGI,0.2,2016,1,-96.0,WINTER
CHAMARAJANAGAR,5.5,2016,1,62.0,WINTER
YADGIR,0.0,2016,1,-100.0,WINTER
BELGAUM,0.0,2016,1,-97.0,WINTER
RAICHUR,1.2,2016,1,-14.0,WINTER
UTTAR KANNADA,0.4,2016,1,38.0,WINTER
BANGALORE RURAL,8.9,2016,1,424.0,WINTER
DAVANGERE,0.4,2016,1,-65.0,WINTER
CHITRADURGA,0.9,2016,1,-36.0,WINTER
CHIKBALLAPURA,4.1,2016,1,95.0,WINTER
KOLAR,9.1,2016,1,236.0,WINTER
CHIKKAMAGALURU,0.7,2016,1,-58.0,WINTER
SHIMOGA,0.8,2016,1,56.0,WINTER
HAVERI,0.3,2016,1,-5.0,WINTER
BIDAR,0.8,2016,1,-86.0,WINTER
UDUPI,0.8,2016,1,-43.0,WINTER
BAGALKOTE,0.3,2016,1,-86.0,WINTER
HASSAN,1.1,2016,1,-19.0,WINTER
GADAG,0.4,2016,1,-68.0,WINTER
BELAGAVI,0.0,2016,1,-97.0,WINTER
DHARWAD,0.3,2016,1,-88.0,WINTER
KODAGU,0.3,2016,1,-92.0,WINTER
BANGALORE URBAN,4.9,2016,1,115.0,WINTER
TUMKUR,6.1,2016,1,152.0,WINTER
DAKSHIN KANNADA,0.3,2016,1,-83.0,WINTER
BELLARY,9.4,2016,1,569.0,WINTER
KOPPAL,0.5,2016,1,-55.0,WINTER
RAMANAGARA,2.2,2016,1,47.0,WINTER
KALABURGI,0.0,2017,1,-100.0,WINTER
DAKSHIN KANNADA,4.2,2017,1,120.0,WINTER
UDUPI,0.0,2017,1,-100.0,WINTER
UTTAR KANNADA,0.0,2017,1,-100.0,WINTER
TUMKUR,4.2,2017,1,77.0,WINTER
CHIKBALLAPURA,0.6,2017,1,-70.0,WINTER
BELAGAVI,0.0,2017,1,-100.0,WINTER
YADGIR,0.0,2017,1,-100.0,WINTER
CHITRADURGA,0.0,2017,1,-100.0,WINTER
VIJAYAPURA,0.0,2017,1,-100.0,WINTER
GADAG,0.0,2017,1,-100.0,WINTER
RAICHUR,0.0,2017,1,-100.0,WINTER
CHAMARAJANAGAR,0.0,2017,1,-100.0,WINTER
HASSAN,8.0,2017,1,519.0,WINTER
HAVERI,0.0,2017,1,-100.0,WINTER
RAMANAGARA,1.9,2017,1,25.0,WINTER
DHARWAD,0.0,2017,1,-100.0,WINTER
KOLAR,11.0,2017,1,308.0,WINTER
BAGALKOTE,0.0,2017,1,-100.0,WINTER
MYSURU,8.8,2017,1,250.0,WINTER
CHIKKAMAGALURU,0.1,2017,1,-91.0,WINTER
BELLARY,0.0,2017,1,-100.0,WINTER
MANDYA,2.9,2017,1,52.0,WINTER
BANGALORE RURAL,0.9,2017,1,-47.0,WINTER
KOPPAL,0.0,2017,1,-100.0,WINTER
SHIMOGA,0.3,2017,1,-49.0,WINTER
DAVANGERE,0.0,2017,1,-100.0,WINTER
BIDAR,0.0,2017,1,-100.0,WINTER
KODAGU,57.5,2017,1,1542.0,WINTER
BANGALORE URBAN,0.5,2017,1,-78.0,WINTER
BELLARY,0.0,2018,1,-100.0,WINTER
BAGALKOTE,0.0,2018,1,-100.0,WINTER
CHIKBALLAPURA,0.0,2018,1,-100.0,WINTER
UTTAR KANNADA,0.0,2018,1,-100.0,WINTER
TUMKUR,0.0,2018,1,-100.0,WINTER
KOLAR,0.0,2018,1,-100.0,WINTER
YADGIR,0.0,2018,1,-100.0,WINTER
GADAG,0.0,2018,1,-100.0,WINTER
CHAMARAJANAGAR,0.0,2018,1,-100.0,WINTER
BIDAR,0.0,2018,1,-100.0,WINTER
VIJAYAPURA,0.0,2018,1,-100.0,WINTER
DAVANGERE,0.0,2018,1,-100.0,WINTER
KODAGU,0.0,2018,1,-100.0,WINTER
SHIMOGA,0.0,2018,1,-100.0,WINTER
RAICHUR,0.0,2018,1,-100.0,WINTER
MYSURU,0.0,2018,1,-100.0,WINTER
CHIKKAMAGALURU,0.0,2018,1,-100.0,WINTER
DAKSHIN KANNADA,0.0,2018,1,-100.0,WINTER
MANDYA,0.0,2018,1,-100.0,WINTER
KOPPAL,0.0,2018,1,-100.0,WINTER
HAVERI,0.0,2018,1,-100.0,WINTER
BANGALORE RURAL,0.0,2018,1,-100.0,WINTER
DHARWAD,0.0,2018,1,-100.0,WINTER
UDUPI,0.0,2018,1,-100.0,WINTER
BELAGAVI,0.0,2018,1,-100.0,WINTER
RAMANAGARA,0.0,2018,1,-100.0,WINTER
HASSAN,0.0,2018,1,-100.0,WINTER
BANGALORE URBAN,0.0,2018,1,-100.0,WINTER
KALABURGI,0.0,2018,1,-100.0,WINTER
CHITRADURGA,0.0,2018,1,-100.0,WINTER
CHIKKAMAGALURU,0.0,2019,1,-100.0,WINTER
HASSAN,0.0,2019,1,-100.0,WINTER
KODAGU,0.0,2019,1,-100.0,WINTER
MYSURU,0.0,2019,1,-100.0,WINTER
MYSURU,0.0,2020,1,-100.0,WINTER
HASSAN,0.2,2020,1,-88.0,WINTER
KODAGU,0.0,2020,1,-100.0,WINTER
CHIKKAMAGALURU,0.0,2020,1,-98.0,WINTER
KODAGU,19.5,2008,2,220.0,WINTER
BIDAR,24.0,2008,2,208.0,WINTER
CHAMARAJANAGAR,20.7,2008,2,214.0,WINTER
BANGALORE URBAN,9.9,2008,2,38.0,WINTER
DAKSHIN KANNADA,13.8,2008,2,1625.0,WINTER
BIJAPUR,10.0,2008,2,213.0,WINTER
CHIKKAMAGALURU,40.7,2008,2,1354.0,WINTER
HAVERI,0.6,2008,2,-40.0,WINTER
GULBARGA,4.5,2008,2,5.0,WINTER
HASSAN,39.5,2008,2,1262.0,WINTER
CHITRADURGA,23.4,2008,2,1132.0,WINTER
KOPPAL,3.9,2008,2,457.0,WINTER
RAICHUR,7.3,2008,2,356.0,WINTER
UTTAR KANNADA,5.3,2008,2,52900.0,WINTER
MYSURU,9.7,2008,2,111.0,WINTER
BELLARY,10.7,2008,2,435.0,WINTER
BELGAUM,2.6,2008,2,86.0,WINTER
BAGALKOTE,16.7,2008,2,882.0,WINTER
BANGALORE RURAL,2.1,2008,2,-62.0,WINTER
SHIMOGA,12.8,2008,2,1500.0,WINTER
DAVANGERE,1.0,2008,2,-17.0,WINTER
GADAG,0.1,2008,2,-92.0,WINTER
UDUPI,13.5,2008,2,1400.0,WINTER
DHARWAD,0.1,2008,2,-97.0,WINTER
TUMKUR,38.8,2008,2,1286.0,WINTER
KOLAR,14.7,2008,2,220.0,WINTER
MANDYA,6.6,2008,2,29.0,WINTER
BIJAPUR,0.0,2009,2,-100.0,WINTER
CHIKKAMAGALURU,0.0,2009,2,-100.0,WINTER
BELLARY,0.0,2009,2,-100.0,WINTER
TUMKUR,0.0,2009,2,-100.0,WINTER
HASSAN,0.0,2009,2,-100.0,WINTER
GULBARGA,0.0,2009,2,-100.0,WINTER
CHITRADURGA,0.0,2009,2,-100.0,WINTER
DAVANGERE,0.0,2009,2,-100.0,WINTER
BANGALORE URBAN,0.0,2009,2,-100.0,WINTER
RAICHUR,0.0,2009,2,-100.0,WINTER
BAGALKOTE,0.0,2009,2,-100.0,WINTER
GADAG,0.0,2009,2,-100.0,WINTER
BELGAUM,0.0,2009,2,-100.0,WINTER
MYSURU,0.0,2009,2,-100.0,WINTER
SHIMOGA,0.0,2009,2,-100.0,WINTER
KODAGU,0.0,2009,2,-100.0,WINTER
DAKSHIN KANNADA,0.0,2009,2,-100.0,WINTER
CHAMARAJANAGAR,0.0,2009,2,-100.0,WINTER
KOLAR,0.0,2009,2,-100.0,WINTER
BANGALORE RURAL,0.0,2009,2,-100.0,WINTER
BIDAR,0.0,2009,2,-100.0,WINTER
HAVERI,0.0,2009,2,-100.0,WINTER
KOPPAL,0.0,2009,2,-100.0,WINTER
DHARWAD,0.0,2009,2,-100.0,WINTER
UTTAR KANNADA,0.0,2009,2,-100.0,WINTER
UDUPI,0.0,2009,2,-100.0,WINTER
MANDYA,0.0,2009,2,-100.0,WINTER
BANGALORE RURAL,0.0,2010,2,-100.0,WINTER
CHAMARAJANAGAR,3.9,2010,2,-41.0,WINTER
BAGALKOTE,0.1,2010,2,-94.0,WINTER
DHARWAD,1.3,2010,2,-63.0,WINTER
CHITRADURGA,0.0,2010,2,-100.0,WINTER
SHIMOGA,0.0,2010,2,-100.0,WINTER
DAVANGERE,0.0,2010,2,-100.0,WINTER
BANGALORE URBAN,0.0,2010,2,-100.0,WINTER
MANDYA,0.0,2010,2,-100.0,WINTER
GADAG,9.3,2010,2,615.0,WINTER
TUMKUR,0.0,2010,2,-100.0,WINTER
BELGAUM,0.7,2010,2,-50.0,WINTER
BIJAPUR,0.6,2010,2,-81.0,WINTER
MYSURU,0.1,2010,2,-98.0,WINTER
DAKSHIN KANNADA,0.0,2010,2,-100.0,WINTER
RAICHUR,0.0,2010,2,-100.0,WINTER
GULBARGA,5.3,2010,2,23.0,WINTER
CHIKKAMAGALURU,0.0,2010,2,-100.0,WINTER
HAVERI,0.4,2010,2,-60.0,WINTER
KODAGU,0.9,2010,2,-85.0,WINTER
BELLARY,2.7,2010,2,35.0,WINTER
UTTAR KANNADA,0.0,2010,2,-100.0,WINTER
KOLAR,1.0,2010,2,-78.0,WINTER
BIDAR,14.8,2010,2,90.0,WINTER
HASSAN,0.0,2010,2,-100.0,WINTER
KOPPAL,0.0,2010,2,-100.0,WINTER
UDUPI,0.0,2010,2,-100.0,WINTER
MYSURU,15.5,2011,2,343.0,WINTER
DAVANGERE,0.0,2011,2,-100.0,WINTER
BAGALKOTE,1.9,2011,2,27.0,WINTER
YADGIR,3.9,2011,2,8.0,WINTER
DAKSHIN KANNADA,0.8,2011,2,14.0,WINTER
CHITRADURGA,0.3,2011,2,-75.0,WINTER
UDUPI,0.0,2011,2,-100.0,WINTER
CHIKKAMAGALURU,9.8,2011,2,390.0,WINTER
BELLARY,0.5,2011,2,-64.0,WINTER
KOPPAL,0.0,2011,2,-100.0,WINTER
RAMANAGARA,15.5,2011,2,230.0,WINTER
KODAGU,22.2,2011,2,429.0,WINTER
DHARWAD,7.7,2011,2,141.0,WINTER
UTTAR KANNADA,0.5,2011,2,400.0,WINTER
GULBARGA,13.9,2011,2,379.0,WINTER
TUMKUR,2.7,2011,2,-10.0,WINTER
MANDYA,21.4,2011,2,494.0,WINTER
HAVERI,1.5,2011,2,200.0,WINTER
CHIKBALLAPURA,3.3,2011,2,-28.0,WINTER
BANGALORE URBAN,18.2,2011,2,172.0,WINTER
CHAMARAJANAGAR,23.2,2011,2,287.0,WINTER
BIJAPUR,0.0,2011,2,-100.0,WINTER
SHIMOGA,2.0,2011,2,400.0,WINTER
RAICHUR,0.0,2011,2,-100.0,WINTER
HASSAN,7.2,2011,2,188.0,WINTER
BIDAR,4.7,2011,2,-23.0,WINTER
BELGAUM,4.4,2011,2,389.0,WINTER
KOLAR,21.1,2011,2,369.0,WINTER
BANGALORE RURAL,2.5,2011,2,-57.0,WINTER
GADAG,0.6,2011,2,-40.0,WINTER
HAVERI,0.0,2012,2,-100.0,WINTER
TUMKUR,0.0,2012,2,-100.0,WINTER
DHARWAD,0.0,2012,2,-100.0,WINTER
CHITRADURGA,0.0,2012,2,-100.0,WINTER
GADAG,0.0,2012,2,-100.0,WINTER
BANGALORE URBAN,0.0,2012,2,-100.0,WINTER
KOLAR,0.0,2012,2,-100.0,WINTER
DAKSHIN KANNADA,0.3,2012,2,-57.0,WINTER
CHIKBALLAPURA,0.0,2012,2,-100.0,WINTER
BANGALORE RURAL,0.0,2012,2,-100.0,WINTER
DAVANGERE,0.0,2012,2,-100.0,WINTER
UDUPI,0.0,2012,2,-100.0,WINTER
RAMANAGARA,0.0,2012,2,-100.0,WINTER
SHIMOGA,0.0,2012,2,-100.0,WINTER
CHIKKAMAGALURU,0.3,2012,2,-85.0,WINTER
RAICHUR,0.0,2012,2,-100.0,WINTER
HASSAN,0.3,2012,2,-88.0,WINTER
MYSURU,2.3,2012,2,-34.0,WINTER
BIJAPUR,0.0,2012,2,-100.0,WINTER
CHAMARAJANAGAR,0.0,2012,2,-100.0,WINTER
MANDYA,0.0,2012,2,-100.0,WINTER
KODAGU,2.2,2012,2,-48.0,WINTER
BAGALKOTE,0.0,2012,2,-99.0,WINTER
BELLARY,0.0,2012,2,-100.0,WINTER
UTTAR KANNADA,0.0,2012,2,-100.0,WINTER
KOPPAL,0.0,2012,2,-100.0,WINTER
BIDAR,0.3,2012,2,-95.0,WINTER
BELGAUM,0.0,2012,2,-100.0,WINTER
GULBARGA,0.0,2012,2,-100.0,WINTER
YADGIR,0.0,2012,2,-100.0,WINTER
HAVERI,6.0,2013,2,1100.0,WINTER
TUMKUR,5.8,2013,2,93.0,WINTER
UDUPI,12.8,2013,2,3100.0,WINTER
BIJAPUR,2.3,2013,2,-15.0,WINTER
BELAGAVI,4.1,2013,2,356.0,WINTER
YADGIR,5.9,2013,2,64.0,WINTER
CHIKBALLAPURA,16.9,2013,2,267.0,WINTER
RAMANAGARA,1.0,2013,2,-79.0,WINTER
UTTAR KANNADA,12.4,2013,2,12300.0,WINTER
BELLARY,4.4,2013,2,214.0,WINTER
BANGALORE URBAN,4.0,2013,2,-40.0,WINTER
GULBARGA,12.1,2013,2,317.0,WINTER
BELGAUM,4.1,2013,2,356.0,WINTER
BAGALKOTE,1.4,2013,2,-7.0,WINTER
HASSAN,15.1,2013,2,504.0,WINTER
RAICHUR,14.3,2013,2,615.0,WINTER
MYSURU,1.8,2013,2,-49.0,WINTER
DHARWAD,4.9,2013,2,53.0,WINTER
CHIKKAMAGALURU,23.2,2013,2,1060.0,WINTER
KODAGU,22.5,2013,2,436.0,WINTER
SHIMOGA,18.8,2013,2,4600.0,WINTER
KOLAR,16.5,2013,2,267.0,WINTER
GADAG,0.0,2013,2,-100.0,WINTER
DAVANGERE,4.5,2013,2,463.0,WINTER
CHITRADURGA,4.7,2013,2,292.0,WINTER
CHAMARAJANAGAR,0.4,2013,2,-93.0,WINTER
DAKSHIN KANNADA,25.3,2013,2,3514.0,WINTER
MANDYA,15.6,2013,2,333.0,WINTER
KOPPAL,5.0,2013,2,1150.0,WINTER
BANGALORE RURAL,6.9,2013,2,19.0,WINTER
BIDAR,11.7,2013,2,92.0,WINTER
YADGIR,1.7,2014,2,-53.0,WINTER
HASSAN,0.3,2014,2,-88.0,WINTER
BIJAPUR,5.9,2014,2,119.0,WINTER
DHARWAD,5.9,2014,2,84.0,WINTER
KOLAR,0.0,2014,2,-100.0,WINTER
GULBARGA,4.7,2014,2,62.0,WINTER
RAMANAGARA,0.3,2014,2,-94.0,WINTER
SHIMOGA,8.3,2014,2,1975.0,WINTER
UTTAR KANNADA,0.0,2014,2,-100.0,WINTER
UDUPI,0.0,2014,2,-100.0,WINTER
BANGALORE URBAN,0.1,2014,2,-99.0,WINTER
HAVERI,2.1,2014,2,320.0,WINTER
MANDYA,0.2,2014,2,-94.0,WINTER
GADAG,19.9,2014,2,1890.0,WINTER
RAICHUR,2.6,2014,2,30.0,WINTER
